5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
01/10/2006 00:00,61,1,100,3126
01/10/2006 00:15,50,1,100,3126
01/10/2006 00:30,50,1,100,3126
01/10/2006 00:45,42,1,100,3126
01/10/2006 01:00,36,1,100,3126
01/10/2006 01:15,45,1,100,3126
01/10/2006 01:30,27,1,100,3126
01/10/2006 01:45,21,1,100,3126
01/10/2006 02:00,19,1,100,3126
01/10/2006 02:15,19,1,100,3126
01/10/2006 02:30,22,1,100,3126
01/10/2006 02:45,20,1,100,3126
01/10/2006 03:00,14,1,100,3126
01/10/2006 03:15,20,1,100,3126
01/10/2006 03:30,8,1,100,3126
01/10/2006 03:45,9,1,100,3126
01/10/2006 04:00,18,1,100,3126
01/10/2006 04:15,11,1,100,3126
01/10/2006 04:30,9,1,100,3126
01/10/2006 04:45,15,1,100,3126
01/10/2006 05:00,14,1,100,3126
01/10/2006 05:15,21,1,100,3126
01/10/2006 05:30,23,1,100,3126
01/10/2006 05:45,30,1,100,3126
01/10/2006 06:00,53,1,100,3126
01/10/2006 06:15,42,1,100,3126
01/10/2006 06:30,41,1,100,3126
01/10/2006 06:45,52,1,100,3126
01/10/2006 07:00,54,1,100,3126
01/10/2006 07:15,52,1,100,3126
01/10/2006 07:30,52,1,100,3126
01/10/2006 07:45,62,1,100,3126
01/10/2006 08:00,53,1,100,3126
01/10/2006 08:15,91,1,100,3126
01/10/2006 08:30,89,1,100,3126
01/10/2006 08:45,113,1,100,3126
01/10/2006 09:00,123,1,100,3126
01/10/2006 09:15,140,1,100,3126
01/10/2006 09:30,175,1,100,3126
01/10/2006 09:45,203,1,100,3126
01/10/2006 10:00,173,1,100,3126
01/10/2006 10:15,199,1,100,3126
01/10/2006 10:30,185,1,100,3126
01/10/2006 10:45,233,1,100,3126
01/10/2006 11:00,187,1,100,3126
01/10/2006 11:15,196,1,100,3126
01/10/2006 11:30,220,1,100,3126
01/10/2006 11:45,189,1,100,3126
01/10/2006 12:00,178,1,100,3126
01/10/2006 12:15,206,1,100,3126
01/10/2006 12:30,198,1,100,3126
01/10/2006 12:45,197,1,100,3126
01/10/2006 13:00,215,1,100,3126
01/10/2006 13:15,208,1,100,3126
01/10/2006 13:30,188,1,100,3126
01/10/2006 13:45,216,1,100,3126
01/10/2006 14:00,196,1,100,3126
01/10/2006 14:15,204,1,100,3126
01/10/2006 14:30,210,1,100,3126
01/10/2006 14:45,209,1,100,3126
01/10/2006 15:00,214,1,100,3126
01/10/2006 15:15,196,1,100,3126
01/10/2006 15:30,196,1,100,3126
01/10/2006 15:45,204,1,100,3126
01/10/2006 16:00,214,1,100,3126
01/10/2006 16:15,171,1,100,3126
01/10/2006 16:30,162,1,100,3126
01/10/2006 16:45,213,1,100,3126
01/10/2006 17:00,205,1,100,3126
01/10/2006 17:15,232,1,100,3126
01/10/2006 17:30,166,1,100,3126
01/10/2006 17:45,197,1,100,3126
01/10/2006 18:00,157,1,100,3126
01/10/2006 18:15,154,1,100,3126
01/10/2006 18:30,129,1,100,3126
01/10/2006 18:45,131,1,100,3126
01/10/2006 19:00,124,1,100,3126
01/10/2006 19:15,112,1,100,3126
01/10/2006 19:30,90,1,100,3126
01/10/2006 19:45,83,1,100,3126
01/10/2006 20:00,78,1,100,3126
01/10/2006 20:15,81,1,100,3126
01/10/2006 20:30,51,1,100,3126
01/10/2006 20:45,75,1,100,3126
01/10/2006 21:00,78,1,100,3126
01/10/2006 21:15,90,1,100,3126
01/10/2006 21:30,80,1,100,3126
01/10/2006 21:45,51,1,100,3126
01/10/2006 22:00,70,1,100,3126
01/10/2006 22:15,57,1,100,3126
01/10/2006 22:30,50,1,100,3126
01/10/2006 22:45,43,1,100,3126
01/10/2006 23:00,34,1,100,3126
01/10/2006 23:15,21,1,100,3126
01/10/2006 23:30,34,1,100,3126
01/10/2006 23:45,20,1,100,3126
02/10/2006 00:00,16,1,100,3126
02/10/2006 00:15,9,1,100,3126
02/10/2006 00:30,8,1,100,3126
02/10/2006 00:45,10,1,100,3126
02/10/2006 01:00,13,1,100,3126
02/10/2006 01:15,10,1,100,3126
02/10/2006 01:30,10,1,100,3126
02/10/2006 01:45,15,1,100,3126
02/10/2006 02:00,3,1,100,3126
02/10/2006 02:15,4,1,100,3126
02/10/2006 02:30,13,1,100,3126
02/10/2006 02:45,3,1,100,3126
